,VibromPeak,UTE,idChiave,rpmSetPoint,LUNG,spindleRpm,ist_acc,@timestamp,numTP,DIAM,statoRot,bearingsCelsius,statorCelsius,CurrentPeak
0,4.1,NR-304:1,22043,24000.0,119.779,23955.0,1325026,2021-04-20T08:16:53.238Z,1,15.0,1,34.0,36.0,18.025
1,1.8,NR-304:2,22044,24000.0,119.699,23952.0,1325042,2021-04-20T08:16:53.398Z,11,15.0,1,26.0,34.0,19.753
2,1.5,NR-316:2,22046,24000.0,124.349,23988.0,1340023,2021-04-20T08:19:23.210Z,11,14.7,1,28.0,43.0,14.464
3,3.8,NR-316:1,22045,24000.0,124.66,24015.0,1339993,2021-04-20T08:19:22.910Z,1,14.7,1,35.0,46.0,13.551
4,1.3,NR-317:2,22048,24000.0,105.839,23988.0,1346579,2021-04-20T08:20:28.772Z,11,11.5,1,28.0,41.0,13.062
5,2.3,NR-317:1,22047,24000.0,105.849,23976.0,1346549,2021-04-20T08:20:28.472Z,1,11.5,1,36.0,45.0,12.588
6,1.5,NR-303:1,22049,22000.0,125.48,22003.0,1353765,2021-04-20T08:21:40.633Z,1,12.5,1,36.0,43.0,12.298
7,1.4,NR-303:2,22050,22000.0,125.51,22003.0,1353795,2021-04-20T08:21:40.933Z,11,12.5,1,27.0,39.0,13.119
8,2.1,NR-304:2,22051,24000.0,119.699,23985.0,1369145,2021-04-20T08:24:14.435Z,11,15.0,1,27.0,35.0,19.094
9,5.1,NR-304:1,22052,24000.0,119.779,23937.0,1373464,2021-04-20T08:24:57.626Z,1,15.0,1,34.0,37.0,19.229
10,2.7,NR-304:2,22053,24000.0,119.699,23976.0,1373494,2021-04-20T08:24:57.926Z,11,15.0,1,26.0,35.0,18.882
11,3.2,NR-316:1,22054,24000.0,124.66,23994.0,1388437,2021-04-20T08:27:27.359Z,1,14.7,1,36.0,47.0,13.912
12,1.4,NR-316:2,22055,24000.0,124.349,23997.0,1388467,2021-04-20T08:27:27.659Z,11,14.7,1,28.0,43.0,13.183
13,1.9,NR-317:1,22056,24000.0,105.849,23985.0,1395027,2021-04-20T08:28:33.260Z,1,11.5,1,36.0,46.0,13.331
14,1.4,NR-317:2,22057,24000.0,105.839,24021.0,1395043,2021-04-20T08:28:33.420Z,11,11.5,1,28.0,41.0,12.999
15,2.3,NR-303:1,22058,22000.0,125.48,22003.0,1402260,2021-04-20T08:29:45.591Z,1,12.5,1,36.0,44.0,12.616
16,1.3,NR-303:2,22059,22000.0,125.51,22003.0,1402290,2021-04-20T08:29:45.891Z,11,12.5,1,28.0,39.0,13.027
17,2.9,NR-304:2,22060,24000.0,119.699,23970.0,1418442,2021-04-20T08:32:27.414Z,11,15.0,1,27.0,35.0,18.684
18,4.8,NR-304:1,22061,24000.0,119.779,23952.0,1422767,2021-04-20T08:33:10.665Z,1,15.0,1,35.0,37.0,19.887
19,3.4,NR-304:2,22062,24000.0,119.699,23991.0,1422783,2021-04-20T08:33:10.825Z,11,15.0,1,26.0,35.0,19.293
20,1.2,NR-316:2,22064,24000.0,124.349,24000.0,1437765,2021-04-20T08:35:40.647Z,11,14.7,1,28.0,43.0,14.238
21,4.7,NR-316:1,22063,24000.0,124.66,23985.0,1437735,2021-04-20T08:35:40.347Z,1,14.7,1,36.0,47.0,13.501
22,2.3,NR-317:1,22065,24000.0,105.849,23958.0,1444314,2021-04-20T08:36:46.139Z,1,11.5,1,36.0,46.0,13.473
23,1.3,NR-317:2,22066,24000.0,105.839,23985.0,1444344,2021-04-20T08:36:46.439Z,11,11.5,1,28.0,41.0,13.154
24,1.3,NR-303:1,22067,22000.0,125.48,21997.0,1451566,2021-04-20T08:37:58.660Z,1,12.5,1,36.0,44.0,12.085
25,1.3,NR-303:2,22068,22000.0,125.51,21993.0,1451596,2021-04-20T08:37:58.960Z,11,12.5,1,28.0,39.0,12.772
26,1.4,NR-304:2,22069,24000.0,119.699,23952.0,1466886,2021-04-20T08:40:31.863Z,11,15.0,1,27.0,35.0,17.947
27,1.3,NR-304:2,22071,24000.0,119.699,23991.0,1471230,2021-04-20T08:41:15.303Z,11,15.0,1,26.0,35.0,19.342
28,0.7,NR-304:1,22070,24000.0,119.779,23928.0,1471214,2021-04-20T08:41:15.143Z,1,15.0,1,35.0,37.0,18.62
29,1.2,NR-316:2,22073,24000.0,124.349,24018.0,1486210,2021-04-20T08:43:45.106Z,11,14.7,1,28.0,44.0,14.202
30,2.1,NR-316:1,22072,24000.0,124.66,24006.0,1486194,2021-04-20T08:43:44.946Z,1,14.7,1,36.0,47.0,13.381
31,1.7,NR-317:1,22074,24000.0,105.849,23982.0,1492718,2021-04-20T08:44:50.187Z,1,11.5,1,37.0,46.0,13.671
32,1.4,NR-317:2,22075,24000.0,105.839,23994.0,1492748,2021-04-20T08:44:50.487Z,11,11.5,1,28.0,41.0,13.013
33,1.8,NR-303:1,22076,22000.0,125.48,21982.0,1499934,2021-04-20T08:46:02.348Z,1,12.5,1,37.0,45.0,11.837
34,1.3,NR-303:2,22077,22000.0,125.51,21998.0,1499964,2021-04-20T08:46:02.648Z,11,12.5,1,28.0,40.0,13.013
35,1.3,NR-304:2,22078,24000.0,119.699,23958.0,1515295,2021-04-20T08:48:35.961Z,11,15.0,1,27.0,35.0,19.187
36,1.3,NR-304:1,22079,24000.0,119.779,23982.0,1519622,2021-04-20T08:49:19.232Z,1,15.0,1,35.0,37.0,18.726
37,1.2,NR-304:2,22080,24000.0,119.699,23988.0,1519638,2021-04-20T08:49:19.392Z,11,15.0,1,27.0,35.0,19.201
38,3.1,NR-316:1,22081,24000.0,124.66,23991.0,1534585,2021-04-20T08:51:48.864Z,1,14.7,1,36.0,47.0,13.869
39,1.3,NR-316:2,22082,24000.0,124.349,23991.0,1534615,2021-04-20T08:51:49.165Z,11,14.7,1,28.0,44.0,13.947
40,3.3,NR-317:1,22083,24000.0,105.849,24009.0,1541175,2021-04-20T08:52:54.766Z,1,11.5,1,37.0,46.0,13.076
41,1.4,NR-317:2,22084,24000.0,105.839,23985.0,1541191,2021-04-20T08:52:54.926Z,11,11.5,1,29.0,42.0,13.091
42,2.6,NR-303:1,22085,22000.0,125.48,21985.0,1548423,2021-04-20T08:54:07.247Z,1,12.5,1,37.0,45.0,12.602
43,1.4,NR-303:2,22086,22000.0,125.51,21988.0,1548454,2021-04-20T08:54:07.557Z,11,12.5,1,28.0,40.0,12.751
44,1.2,NR-304:2,22087,24000.0,119.699,23970.0,1567991,2021-04-20T08:57:22.930Z,11,15.0,1,26.0,33.0,18.67
45,3.5,NR-304:1,22088,24000.0,119.779,23940.0,1572306,2021-04-20T08:58:06.081Z,1,15.0,1,34.0,35.0,19.937
46,1.2,NR-304:2,22089,24000.0,119.699,23952.0,1572336,2021-04-20T08:58:06.381Z,11,15.0,1,26.0,33.0,18.974
47,4.6,NR-316:1,22090,24000.0,124.66,24003.0,1587298,2021-04-20T09:00:36.004Z,1,14.7,1,36.0,46.0,14.025
48,1.2,NR-316:2,22091,24000.0,124.349,23970.0,1587314,2021-04-20T09:00:36.164Z,11,14.7,1,28.0,43.0,13.763
49,1.8,NR-317:1,22092,24000.0,105.849,23985.0,1593822,2021-04-20T09:01:41.245Z,1,11.5,1,37.0,46.0,13.303
50,1.4,NR-317:2,22093,24000.0,105.839,23994.0,1593852,2021-04-20T09:01:41.545Z,11,11.5,1,28.0,41.0,13.303
51,1.3,NR-303:1,22094,22000.0,125.48,22008.0,1601084,2021-04-20T09:02:53.866Z,1,12.5,1,37.0,44.0,12.262
52,1.3,NR-303:2,22095,22000.0,125.51,22023.0,1601100,2021-04-20T09:02:54.026Z,11,12.5,1,28.0,40.0,12.68
53,1.2,NR-304:2,22096,24000.0,119.699,24000.0,1624521,2021-04-20T09:06:48.240Z,11,15.0,1,26.0,30.0,17.891
54,1.1,NR-304:2,22098,24000.0,119.699,23940.0,1628867,2021-04-20T09:07:31.701Z,11,15.0,1,26.0,32.0,18.089
55,1.5,NR-304:1,22097,24000.0,119.779,23985.0,1628836,2021-04-20T09:07:31.391Z,1,15.0,1,34.0,33.0,19.597
56,3.0,NR-316:1,22099,24000.0,124.66,23997.0,1643818,2021-04-20T09:10:01.214Z,1,14.7,1,36.0,46.0,14.28
57,1.4,NR-316:2,22100,24000.0,124.349,24000.0,1643848,2021-04-20T09:10:01.514Z,11,14.7,1,28.0,43.0,13.275
58,1.6,NR-317:1,22101,24000.0,105.849,24042.0,1650396,2021-04-20T09:11:06.995Z,1,11.5,1,36.0,45.0,12.22
59,1.4,NR-317:2,22102,24000.0,105.839,23991.0,1650426,2021-04-20T09:11:07.295Z,11,11.5,1,28.0,41.0,12.722
60,2.5,NR-303:1,22103,22000.0,125.48,22005.0,1657611,2021-04-20T09:12:19.146Z,1,12.5,1,36.0,44.0,12.262
61,1.5,NR-303:2,22104,22000.0,125.51,22005.0,1657627,2021-04-20T09:12:19.306Z,11,12.5,1,28.0,39.0,13.211
62,1.3,NR-304:2,22105,24000.0,119.699,23952.0,1672932,2021-04-20T09:14:52.359Z,11,15.0,1,27.0,35.0,18.273
63,1.8,NR-304:1,22106,24000.0,119.779,23919.0,1677246,2021-04-20T09:15:35.500Z,1,15.0,1,35.0,37.0,17.997
64,1.1,NR-304:2,22107,24000.0,119.699,23991.0,1677276,2021-04-20T09:15:35.800Z,11,15.0,1,27.0,35.0,19.094
65,2.2,NR-316:1,22108,24000.0,124.66,24030.0,1692224,2021-04-20T09:18:05.282Z,1,14.7,1,37.0,47.0,14.145
66,1.5,NR-316:2,22109,24000.0,124.349,24018.0,1692254,2021-04-20T09:18:05.582Z,11,14.7,1,29.0,44.0,14.16
67,1.7,NR-317:1,22110,24000.0,105.849,24003.0,1698794,2021-04-20T09:19:10.983Z,1,11.5,1,37.0,46.0,13.275
68,1.4,NR-317:2,22111,24000.0,105.839,24006.0,1698825,2021-04-20T09:19:11.294Z,11,11.5,1,29.0,41.0,13.353
69,1.4,NR-303:1,22112,22000.0,125.48,21993.0,1706059,2021-04-20T09:20:23.635Z,1,12.5,1,37.0,44.0,12.404
70,1.4,NR-303:2,22113,22000.0,125.51,22033.0,1706089,2021-04-20T09:20:23.935Z,11,12.5,1,29.0,40.0,12.8
71,1.2,NR-304:2,22114,24000.0,119.699,23934.0,1721384,2021-04-20T09:22:56.888Z,11,15.0,1,27.0,35.0,18.238
72,3.8,NR-304:1,22115,24000.0,119.779,23919.0,1725699,2021-04-20T09:23:40.038Z,1,15.0,1,35.0,37.0,18.563
73,1.1,NR-304:2,22116,24000.0,119.699,23961.0,1725729,2021-04-20T09:23:40.338Z,11,15.0,1,27.0,35.0,18.563
74,2.4,NR-316:1,22117,24000.0,124.66,24012.0,1740712,2021-04-20T09:26:10.171Z,1,14.7,1,37.0,47.0,14.096
75,1.3,NR-316:2,22118,24000.0,124.349,23991.0,1740742,2021-04-20T09:26:10.471Z,11,14.7,1,29.0,43.0,14.145
76,2.1,NR-317:1,22119,24000.0,105.849,24000.0,1747290,2021-04-20T09:27:15.952Z,1,11.5,1,37.0,46.0,12.021
77,1.3,NR-317:2,22120,24000.0,105.839,23976.0,1747320,2021-04-20T09:27:16.252Z,11,11.5,1,29.0,41.0,13.076
78,0.6,NR-303:1,22121,22000.0,125.48,21977.0,1754542,2021-04-20T09:28:28.473Z,1,12.5,1,37.0,44.0,12.496
79,1.5,NR-303:2,22122,22000.0,125.51,22005.0,1754573,2021-04-20T09:28:28.783Z,11,12.5,1,29.0,40.0,12.864
80,1.6,NR-304:2,22123,24000.0,119.699,23949.0,1769857,2021-04-20T09:31:01.626Z,11,15.0,1,28.0,35.0,19.505
81,2.2,NR-304:1,22124,24000.0,119.779,23955.0,1774186,2021-04-20T09:31:44.917Z,1,15.0,1,36.0,38.0,18.5
82,1.3,NR-304:2,22125,24000.0,119.699,23985.0,1774202,2021-04-20T09:31:45.077Z,11,15.0,1,27.0,35.0,20.015
83,3.0,NR-316:1,22126,24000.0,124.66,23982.0,1789149,2021-04-20T09:34:14.550Z,1,14.7,1,37.0,46.0,13.976
84,1.1,NR-316:2,22127,24000.0,124.349,24024.0,1789179,2021-04-20T09:34:14.850Z,11,14.7,1,29.0,44.0,13.353
85,1.0,NR-317:1,22128,24000.0,105.849,24015.0,1795682,2021-04-20T09:35:19.881Z,1,11.5,1,37.0,46.0,13.013
86,1.3,NR-317:2,22129,24000.0,105.839,23994.0,1795712,2021-04-20T09:35:20.181Z,11,11.5,1,29.0,42.0,13.154
87,1.6,NR-303:1,22130,22000.0,125.48,21995.0,1802896,2021-04-20T09:36:32.022Z,1,12.5,1,37.0,45.0,13.119
88,1.4,NR-303:2,22131,22000.0,125.51,22028.0,1802912,2021-04-20T09:36:32.182Z,11,12.5,1,29.0,40.0,13.154
89,1.5,NR-304:2,22132,24000.0,119.699,23940.0,1818267,2021-04-20T09:39:05.735Z,11,15.0,1,28.0,36.0,19.795
90,1.3,NR-304:2,22134,24000.0,119.699,23958.0,1822612,2021-04-20T09:39:49.186Z,11,15.0,1,27.0,35.0,19.611
91,2.2,NR-304:1,22133,24000.0,119.779,23979.0,1822582,2021-04-20T09:39:48.886Z,1,15.0,1,36.0,38.0,18.054
92,1.1,NR-316:1,22135,24000.0,124.66,23982.0,1837562,2021-04-20T09:42:18.688Z,1,14.7,1,37.0,47.0,13.183
93,1.2,NR-316:2,22136,24000.0,124.349,24006.0,1837592,2021-04-20T09:42:18.988Z,11,14.7,1,29.0,44.0,13.565
94,3.1,NR-317:1,22137,24000.0,105.849,23994.0,1844137,2021-04-20T09:43:24.439Z,1,11.5,1,37.0,46.0,12.34
95,1.4,NR-317:2,22138,24000.0,105.839,24027.0,1844167,2021-04-20T09:43:24.740Z,11,11.5,1,29.0,41.0,13.409
96,2.8,NR-303:1,22139,22000.0,125.48,22003.0,1851351,2021-04-20T09:44:36.581Z,1,12.5,1,37.0,45.0,12.772
97,1.5,NR-303:2,22140,22000.0,125.51,22013.0,1851367,2021-04-20T09:44:36.741Z,11,12.5,1,29.0,40.0,12.786
98,2.6,NR-304:2,22141,24000.0,119.699,23952.0,1880827,2021-04-20T09:49:31.346Z,11,15.0,1,26.0,28.0,19.215
99,4.1,NR-304:1,22142,24000.0,119.779,23955.0,1885547,2021-04-20T09:50:18.547Z,1,15.0,1,33.0,32.0,18.011
100,2.6,NR-304:2,22143,24000.0,119.699,23976.0,1885577,2021-04-20T09:50:18.847Z,11,15.0,1,26.0,30.0,18.394
101,3.4,NR-316:1,22144,24000.0,124.66,23991.0,1903420,2021-04-20T09:53:17.280Z,1,14.7,1,36.0,46.0,12.892
102,1.3,NR-316:2,22145,24000.0,124.349,24006.0,1903450,2021-04-20T09:53:17.580Z,11,14.7,1,29.0,43.0,13.381
103,1.8,NR-317:1,22146,24000.0,105.849,24006.0,1911250,2021-04-20T09:54:35.581Z,1,11.5,1,37.0,45.0,13.119
104,1.4,NR-317:2,22147,24000.0,105.839,23985.0,1911280,2021-04-20T09:54:35.881Z,11,11.5,1,29.0,40.0,12.935
105,2.4,NR-303:1,22148,22000.0,125.48,22000.0,1919928,2021-04-20T09:56:02.363Z,1,12.5,1,37.0,43.0,12.878
106,1.4,NR-303:2,22149,22000.0,125.51,22018.0,1919958,2021-04-20T09:56:02.663Z,11,12.5,1,28.0,38.0,12.786
107,2.2,NR-304:2,22150,24000.0,119.699,24000.0,2145296,2021-04-20T10:33:36.083Z,11,15.0,1,21.0,21.0,17.891
108,2.1,NR-304:1,22151,24000.0,119.779,24006.0,2150030,2021-04-20T10:34:23.424Z,1,15.0,1,27.0,26.0,19.066
109,2.3,NR-304:2,22152,24000.0,119.699,23949.0,2150046,2021-04-20T10:34:23.584Z,11,15.0,1,22.0,24.0,18.132
110,2.2,NR-316:1,22153,24000.0,124.66,23979.0,2167888,2021-04-20T10:37:22.008Z,1,14.7,1,32.0,40.0,14.372
111,1.5,NR-316:2,22154,24000.0,124.349,23994.0,2167918,2021-04-20T10:37:22.308Z,11,14.7,1,26.0,37.0,13.062
112,2.0,NR-317:1,22155,24000.0,105.849,24015.0,2175725,2021-04-20T10:38:40.379Z,1,11.5,1,33.0,39.0,12.496
113,1.5,NR-317:2,22156,24000.0,105.839,24006.0,2175755,2021-04-20T10:38:40.679Z,11,11.5,1,26.0,35.0,12.97
114,0.7,NR-303:1,22157,22000.0,125.48,22013.0,2184404,2021-04-20T10:40:07.171Z,1,12.5,1,34.0,39.0,12.128
115,1.5,NR-303:2,22158,22000.0,125.51,21995.0,2184434,2021-04-20T10:40:07.471Z,11,12.5,1,26.0,35.0,12.956
116,1.1,NR-304:2,22159,24000.0,119.699,23988.0,2201370,2021-04-20T10:42:56.834Z,11,15.0,1,26.0,33.0,17.983
117,1.8,NR-304:1,22160,24000.0,119.779,23964.0,2206591,2021-04-20T10:43:49.044Z,1,15.0,1,34.0,34.0,18.514
118,1.7,NR-304:2,22161,24000.0,119.699,23967.0,2206621,2021-04-20T10:43:49.344Z,11,15.0,1,26.0,33.0,18.818
119,1.2,NR-316:1,22162,24000.0,124.66,24021.0,2216717,2021-04-20T10:45:30.306Z,1,14.7,1,35.0,43.0,13.912
120,1.6,NR-316:2,22163,24000.0,124.349,24042.0,2216747,2021-04-20T10:45:30.606Z,11,14.7,1,27.0,40.0,12.843
121,0.9,NR-317:1,22164,24000.0,105.849,23976.0,2220100,2021-04-20T10:46:04.137Z,1,11.5,1,35.0,42.0,12.843
122,1.4,NR-317:2,22165,24000.0,105.839,24015.0,2220116,2021-04-20T10:46:04.297Z,11,11.5,1,27.0,39.0,12.984
123,0.9,NR-303:1,22166,22000.0,125.48,21992.0,2223523,2021-04-20T10:46:38.367Z,1,12.5,1,35.0,42.0,12.326
124,1.7,NR-303:1,22166,24000.0,125.48,23991.0,2226580,2021-04-20T10:47:08.938Z,1,12.5,1,35.0,41.0,10.067
125,1.6,NR-303:2,22167,22000.0,125.51,22018.0,2223553,2021-04-20T10:46:38.667Z,11,12.5,1,27.0,38.0,13.119
126,1.5,NR-303:2,22167,24000.0,125.51,23976.0,2226596,2021-04-20T10:47:09.098Z,11,12.5,1,27.0,38.0,9.671
127,0.9,NR-304:2,22168,24000.0,119.699,23976.0,2238494,2021-04-20T10:49:08.080Z,11,15.0,1,27.0,35.0,18.67
128,1.0,NR-304:1,22169,24000.0,119.779,23952.0,2243712,2021-04-20T10:50:00.261Z,1,15.0,1,35.0,36.0,19.399
129,1.5,NR-304:2,22170,24000.0,119.699,23964.0,2243742,2021-04-20T10:50:00.561Z,11,15.0,1,27.0,35.0,19.031
130,1.4,NR-316:1,22171,24000.0,124.66,23979.0,2253843,2021-04-20T10:51:41.573Z,1,14.7,1,36.0,44.0,14.677
131,1.7,NR-316:2,22172,24000.0,124.349,24009.0,2253873,2021-04-20T10:51:41.873Z,11,14.7,1,28.0,41.0,12.843
132,1.2,NR-317:1,22173,24000.0,105.849,24000.0,2257173,2021-04-20T10:52:14.873Z,1,11.5,1,36.0,44.0,12.46
133,1.4,NR-317:2,22174,24000.0,105.839,24009.0,2257203,2021-04-20T10:52:15.174Z,11,11.5,1,28.0,40.0,13.501
134,1.0,NR-303:1,22175,22000.0,125.48,21992.0,2260609,2021-04-20T10:52:49.234Z,1,12.5,1,36.0,43.0,12.496
135,1.7,NR-303:1,22175,24000.0,125.48,23982.0,2263652,2021-04-20T10:53:19.665Z,1,12.5,1,35.0,42.0,10.216
136,1.5,NR-303:2,22176,22000.0,125.51,21985.0,2260625,2021-04-20T10:52:49.394Z,11,12.5,1,27.0,38.0,13.183
137,1.4,NR-303:2,22176,24000.0,125.51,23985.0,2263669,2021-04-20T10:53:19.835Z,11,12.5,1,27.0,38.0,9.529
138,2.5,NR-304:2,22177,24000.0,119.699,23967.0,2281448,2021-04-20T10:56:17.628Z,11,15.0,1,27.0,32.0,18.804
139,0.6,NR-304:1,22178,24000.0,119.779,23967.0,2286683,2021-04-20T10:57:09.979Z,1,15.0,1,35.0,34.0,18.606
140,2.9,NR-304:2,22179,24000.0,119.699,23979.0,2286699,2021-04-20T10:57:10.139Z,11,15.0,1,27.0,33.0,18.344
141,1.8,NR-316:1,22180,24000.0,124.66,23988.0,2296798,2021-04-20T10:58:51.131Z,1,14.7,1,36.0,44.0,13.445
142,1.3,NR-316:2,22181,24000.0,124.349,24012.0,2296828,2021-04-20T10:58:51.431Z,11,14.7,1,28.0,41.0,13.912
143,1.2,NR-317:1,22182,24000.0,105.849,24018.0,2300120,2021-04-20T10:59:24.351Z,1,11.5,1,36.0,43.0,13.622
144,1.6,NR-317:2,22183,24000.0,105.839,23994.0,2300150,2021-04-20T10:59:24.651Z,11,11.5,1,28.0,40.0,13.133
145,0.8,NR-303:1,22184,22000.0,125.48,21988.0,2303557,2021-04-20T10:59:58.722Z,1,12.5,1,36.0,42.0,12.8
146,1.8,NR-303:1,22184,24000.0,125.48,24000.0,2306613,2021-04-20T11:00:29.282Z,1,12.5,1,35.0,41.0,10.053
147,1.5,NR-303:2,22185,22000.0,125.51,21980.0,2303587,2021-04-20T10:59:59.022Z,11,12.5,1,28.0,38.0,13.027
148,1.5,NR-303:2,22185,24000.0,125.51,24000.0,2306629,2021-04-20T11:00:29.442Z,11,12.5,1,27.0,38.0,9.989
149,2.4,NR-304:2,22186,24000.0,119.699,23955.0,2317316,2021-04-20T11:02:16.314Z,11,15.0,1,28.0,35.0,18.854
150,1.5,NR-304:1,22187,24000.0,119.779,23973.0,2322538,2021-04-20T11:03:08.535Z,1,15.0,1,36.0,37.0,18.528
151,2.9,NR-304:2,22188,24000.0,119.699,23958.0,2322568,2021-04-20T11:03:08.835Z,11,15.0,1,28.0,36.0,19.066
152,2.8,NR-316:1,22189,24000.0,124.66,23991.0,2332656,2021-04-20T11:04:49.717Z,1,14.7,1,37.0,46.0,12.97
153,1.3,NR-316:2,22190,24000.0,124.349,24000.0,2332686,2021-04-20T11:04:50.017Z,11,14.7,1,29.0,42.0,13.133
154,1.0,NR-317:1,22191,24000.0,105.849,24000.0,2335969,2021-04-20T11:05:22.848Z,1,11.5,1,37.0,45.0,13.381
155,1.5,NR-317:2,22192,24000.0,105.839,23997.0,2335999,2021-04-20T11:05:23.148Z,11,11.5,1,28.0,41.0,13.459
156,0.9,NR-303:1,22193,22000.0,125.48,21987.0,2339440,2021-04-20T11:05:57.558Z,1,12.5,1,36.0,44.0,12.843
157,1.6,NR-303:1,22193,24000.0,125.48,24003.0,2342496,2021-04-20T11:06:28.119Z,1,12.5,1,36.0,43.0,10.032
158,1.4,NR-303:2,22194,22000.0,125.51,22010.0,2339470,2021-04-20T11:05:57.858Z,11,12.5,1,28.0,40.0,13.119
159,1.1,NR-303:2,22194,24000.0,125.51,24021.0,2342512,2021-04-20T11:06:28.279Z,11,12.5,1,28.0,38.0,9.331
160,3.1,NR-304:2,22195,24000.0,119.699,23949.0,2353231,2021-04-20T11:08:15.471Z,11,15.0,1,28.0,36.0,18.67
161,1.8,NR-304:1,22196,24000.0,119.779,23964.0,2358462,2021-04-20T11:09:07.782Z,1,15.0,1,36.0,37.0,18.273
162,3.6,NR-304:2,22197,24000.0,119.699,23964.0,2358478,2021-04-20T11:09:07.942Z,11,15.0,1,28.0,37.0,17.983
163,1.8,NR-316:1,22198,24000.0,124.66,24000.0,2368581,2021-04-20T11:10:48.973Z,1,14.7,1,37.0,46.0,14.726
164,1.3,NR-316:2,22199,24000.0,124.349,24000.0,2368611,2021-04-20T11:10:49.273Z,11,14.7,1,29.0,43.0,13.99
165,0.6,NR-317:1,22200,24000.0,105.849,23988.0,2371950,2021-04-20T11:11:22.664Z,1,11.5,1,37.0,46.0,12.496
166,1.4,NR-317:2,22201,24000.0,105.839,23994.0,2371980,2021-04-20T11:11:22.964Z,11,11.5,1,29.0,42.0,13.459
167,0.5,NR-303:1,22202,22000.0,125.48,21975.0,2375385,2021-04-20T11:11:57.015Z,1,12.5,1,37.0,45.0,12.206
168,1.2,NR-303:1,22202,24000.0,125.48,23985.0,2378441,2021-04-20T11:12:27.575Z,1,12.5,1,37.0,44.0,9.451
169,1.5,NR-303:2,22203,22000.0,125.51,21995.0,2375415,2021-04-20T11:11:57.315Z,11,12.5,1,29.0,41.0,12.97
170,1.4,NR-303:2,22203,24000.0,125.51,24003.0,2378457,2021-04-20T11:12:27.735Z,11,12.5,1,28.0,40.0,9.501
171,1.9,NR-304:2,22204,24000.0,119.699,23976.0,2401241,2021-04-20T11:16:15.579Z,11,15.0,1,27.0,29.0,19.463
172,0.8,NR-304:1,22205,24000.0,119.779,23925.0,2406461,2021-04-20T11:17:07.780Z,1,15.0,1,35.0,33.0,19.491
173,2.0,NR-304:2,22206,24000.0,119.699,23973.0,2406491,2021-04-20T11:17:08.080Z,11,15.0,1,27.0,32.0,18.181
174,0.8,NR-316:1,22207,24000.0,124.66,24000.0,2416593,2021-04-20T11:18:49.102Z,1,14.7,1,36.0,44.0,14.315
175,1.4,NR-316:2,22208,24000.0,124.349,23988.0,2416623,2021-04-20T11:18:49.402Z,11,14.7,1,28.0,41.0,13.869
176,1.9,NR-317:1,22209,24000.0,105.849,24012.0,2419988,2021-04-20T11:19:23.053Z,1,11.5,1,36.0,44.0,13.579
177,1.4,NR-317:2,22210,24000.0,105.839,24027.0,2420004,2021-04-20T11:19:23.213Z,11,11.5,1,28.0,40.0,13.076
178,0.8,NR-303:1,22211,22000.0,125.48,21980.0,2423409,2021-04-20T11:19:57.263Z,1,12.5,1,36.0,43.0,12.22
179,1.6,NR-303:1,22211,24000.0,125.48,23991.0,2426465,2021-04-20T11:20:27.824Z,1,12.5,1,36.0,42.0,10.343
180,1.6,NR-303:2,22212,22000.0,125.51,22030.0,2423439,2021-04-20T11:19:57.563Z,11,12.5,1,28.0,38.0,12.956
181,1.4,NR-303:2,22212,24000.0,125.51,24012.0,2426481,2021-04-20T11:20:27.984Z,11,12.5,1,27.0,38.0,9.381
182,1.7,NR-304:2,22213,24000.0,119.699,23964.0,2437203,2021-04-20T11:22:15.206Z,11,15.0,1,28.0,35.0,18.471
183,2.4,NR-304:1,22214,24000.0,119.779,23988.0,2442437,2021-04-20T11:23:07.547Z,1,15.0,1,36.0,37.0,18.542
184,1.7,NR-304:2,22215,24000.0,119.699,23976.0,2442453,2021-04-20T11:23:07.707Z,11,15.0,1,28.0,36.0,19.583
185,1.6,NR-316:1,22216,24000.0,124.66,23988.0,2452550,2021-04-20T11:24:48.679Z,1,14.7,1,37.0,46.0,13.976
186,1.3,NR-316:2,22217,24000.0,124.349,23994.0,2452580,2021-04-20T11:24:48.979Z,11,14.7,1,29.0,43.0,14.28
187,1.5,NR-317:1,22218,24000.0,105.849,23988.0,2455924,2021-04-20T11:25:22.419Z,1,11.5,1,37.0,46.0,12.97
188,1.4,NR-317:2,22219,24000.0,105.839,23991.0,2455940,2021-04-20T11:25:22.579Z,11,11.5,1,29.0,42.0,13.105
189,0.9,NR-303:1,22220,22000.0,125.48,21998.0,2459348,2021-04-20T11:25:56.660Z,1,12.5,1,37.0,44.0,12.283
190,1.7,NR-303:1,22220,24000.0,125.48,23994.0,2462405,2021-04-20T11:26:27.230Z,1,12.5,1,37.0,43.0,9.848
191,1.4,NR-303:2,22221,22000.0,125.51,22023.0,2459378,2021-04-20T11:25:56.960Z,11,12.5,1,29.0,40.0,12.984
192,1.1,NR-303:2,22221,24000.0,125.51,24015.0,2462421,2021-04-20T11:26:27.390Z,11,12.5,1,28.0,39.0,9.345
193,1.8,NR-304:2,22222,24000.0,119.699,23961.0,2473127,2021-04-20T11:28:14.452Z,11,15.0,1,28.0,36.0,19.215
194,3.2,NR-304:1,22223,24000.0,119.779,23979.0,2478361,2021-04-20T11:29:06.793Z,1,15.0,1,36.0,37.0,17.983
