,idChiave,VibromPeak,bearingsCelsius,statoRot,rpmSetPoint,ist_acc,LUNG,spindleRpm,statorCelsius,numTP,CurrentPeak,DIAM,@timestamp,UTE
0,1461,6.1,20.0,1,13000.0,3863060,39.2,12972.0,24.0,1,20.247,4.0,2020-12-02T17:20:05.774Z,AGGRE83-1-COPIATORE_4
1,1462,5.7,22.0,1,13000.0,3888631,39.2,12947.0,24.0,1,20.162,4.0,2020-12-02T17:24:21.488Z,AGGRE83-1-COPIATORE_4
2,1463,5.9,22.0,1,13000.0,3902136,39.2,12982.0,25.0,1,20.179,4.0,2020-12-02T17:26:36.540Z,AGGRE83-1-COPIATORE_4
3,1464,5.8,22.0,1,13000.0,3911822,39.2,12977.0,27.0,1,20.247,4.0,2020-12-02T17:28:13.401Z,AGGRE83-1-COPIATORE_4
4,1465,6.0,22.0,1,13000.0,3947996,39.2,12982.0,25.0,1,20.349,4.0,2020-12-02T17:34:15.147Z,AGGRE83-1-COPIATORE_4
5,1466,6.0,22.0,1,13000.0,3965569,39.2,12947.0,25.0,1,20.195,4.0,2020-12-02T17:37:10.880Z,AGGRE83-1-COPIATORE_4
6,1467,6.0,23.0,1,13000.0,3986169,39.2,12978.0,25.0,1,20.212,4.0,2020-12-02T17:40:36.883Z,AGGRE83-1-COPIATORE_4
7,1468,0.5,13.0,1,6000.0,534223,175.0,5952.0,15.0,1,20.128,7.0,2020-12-03T08:13:17.835Z,CER_ANUBA
8,1469,3.6,15.0,1,16000.0,57099,150.0,15981.0,17.0,1,20.281,20.0,2020-12-03T08:46:02.019Z,FRESA20
9,1470,5.8,15.0,1,16000.0,67839,150.0,15998.0,19.0,1,20.212,20.0,2020-12-03T08:47:49.421Z,FRESA20
10,1471,1.4,15.0,1,18000.0,479490,100.0,18002.0,17.0,1,20.332,2.0,2020-12-03T11:48:17.944Z,FRESA2MM
11,1472,1.3,17.0,1,18000.0,516880,100.0,18016.0,20.0,1,20.332,2.0,2020-12-03T11:54:31.857Z,FRESA2MM
12,1473,1.3,20.0,1,18000.0,541124,100.0,17926.0,25.0,1,20.212,2.0,2020-12-03T11:58:34.306Z,FRESA2MM
13,1474,1.2,20.0,1,18000.0,542445,100.0,18011.0,25.0,1,20.212,2.0,2020-12-03T11:58:47.516Z,FRESA2MM
14,1475,1.3,20.0,1,18000.0,545105,100.0,17999.0,27.0,1,20.212,2.0,2020-12-03T11:59:14.117Z,FRESA2MM
15,1475,1.6,22.0,1,18000.0,551499,100.0,14396.0,28.0,1,4.947,2.0,2020-12-03T12:00:18.059Z,FRESA2MM
16,1477,1.1,22.0,1,18000.0,574079,100.0,15490.0,28.0,1,20.349,2.0,2020-12-03T12:04:03.867Z,FRESA2MM
17,1476,0.8,20.0,1,18000.0,562170,100.0,14410.0,25.0,1,20.162,2.0,2020-12-03T12:02:04.773Z,FRESA2MM
18,1478,0.3,22.0,1,10000.0,680868,112.599,8777.0,24.0,1,20.195,8.0,2020-12-03T12:21:51.795Z,FRESA8MM
19,1478,1.0,22.0,1,10000.0,684513,112.599,9980.0,25.0,1,3.927,8.0,2020-12-03T12:22:28.246Z,FRESA8MM
20,1479,0.9,22.0,1,18000.0,1186428,100.0,17967.0,23.0,1,20.212,2.0,2020-12-03T13:46:07.576Z,FRESA2MM
21,1480,5.8,20.0,1,16000.0,1232173,150.0,15995.0,23.0,1,20.23,20.0,2020-12-03T13:53:45.043Z,FRESA20
22,1481,7.5,22.0,1,16000.0,1257828,150.0,15967.0,24.0,1,20.332,20.0,2020-12-03T13:58:01.602Z,FRESA20
23,1482,7.3,22.0,1,16000.0,1282657,150.0,16020.0,25.0,1,20.349,20.0,2020-12-03T14:02:09.901Z,FRESA20
24,1483,2.3,22.0,1,14000.0,1416769,156.899,13990.0,23.0,1,20.315,50.0,2020-12-03T14:24:31.069Z,FRESA101
25,1484,1.4,22.0,1,18000.0,1424360,101.699,17965.0,25.0,1,20.162,50.0,2020-12-03T14:25:46.982Z,FRESASCORR
26,1485,5.3,17.0,1,16000.0,2152095,150.0,15943.0,20.0,1,20.23,20.0,2020-12-03T16:27:04.592Z,FRESA20
27,1485,6.7,17.0,1,16000.0,2152247,150.0,15991.0,20.0,1,1.598,20.0,2020-12-03T16:27:06.112Z,FRESA20
28,1486,6.8,17.0,1,16000.0,2162799,150.0,15771.0,22.0,1,20.179,20.0,2020-12-03T16:28:51.636Z,FRESA20
29,1486,7.5,23.0,1,16000.0,2247250,150.0,15861.0,32.0,1,3.264,20.0,2020-12-03T16:42:56.176Z,FRESA20
30,1487,0.5,24.0,1,10000.0,2312217,101.0,9967.0,33.0,1,20.349,4.0,2020-12-03T16:53:45.869Z,FRESA4MM
31,1488,1.0,12.0,1,18000.0,544926,143.0,17972.0,13.0,1,20.332,14.0,2020-12-04T08:12:09.697Z,FRESA14
32,1489,0.7,14.0,1,18000.0,578299,143.0,18010.0,17.0,1,20.212,14.0,2020-12-04T08:17:43.432Z,FRESA14
33,1490,1.0,17.0,1,6000.0,594305,58.849,5945.0,24.0,1,20.298,300.399,2020-12-04T08:20:23.494Z,FRESA300
34,1491,4.1,15.0,1,14000.0,1338632,156.899,13941.0,17.0,1,20.247,50.0,2020-12-04T10:24:26.881Z,FRESA101
35,1492,5.9,15.0,1,16000.0,1387857,150.0,15992.0,17.0,1,20.145,20.0,2020-12-04T10:32:39.139Z,FRESA20
36,1493,4.2,15.0,1,14000.0,1408567,156.899,13955.0,19.0,1,20.4,50.0,2020-12-04T10:36:06.243Z,FRESA101
37,1494,4.3,17.0,1,16000.0,46524,150.0,16000.0,18.0,1,20.247,20.0,2020-12-04T10:53:30.366Z,FRESA20
38,1495,4.5,17.0,1,14000.0,59049,156.899,13999.0,20.0,1,20.077,50.0,2020-12-04T10:55:35.617Z,FRESA101
39,1496,4.8,17.0,1,14000.0,330536,156.899,13991.0,19.0,1,20.212,50.0,2020-12-04T11:40:50.524Z,FRESA101
40,1497,0.3,17.0,1,11000.0,1056178,144.899,10956.0,19.0,1,20.179,75.0,2020-12-04T13:41:47.047Z,FRESAPP
41,1498,0.3,17.0,1,11000.0,1084307,144.899,10918.0,20.0,1,20.212,75.0,2020-12-04T13:46:28.341Z,FRESAPP
42,1499,0.4,18.0,1,11000.0,1096400,144.899,10975.0,22.0,1,20.349,75.0,2020-12-04T13:48:29.273Z,FRESAPP
43,1500,6.6,20.0,1,16000.0,1139002,150.0,16002.0,22.0,1,20.212,20.0,2020-12-04T13:55:35.299Z,FRESA20
44,1501,4.6,20.0,1,14000.0,1240730,156.899,13958.0,22.0,1,20.264,50.0,2020-12-04T14:12:32.593Z,FRESA101
45,1502,5.2,20.0,1,14000.0,1264756,156.899,13971.0,23.0,1,20.212,50.0,2020-12-04T14:16:32.857Z,FRESA101
46,1503,1.1,20.0,1,18000.0,1357141,140.0,17992.0,23.0,1,20.145,16.0,2020-12-04T14:31:56.720Z,FRESA16
47,1504,2.2,22.0,1,6000.0,1373874,58.849,5889.0,30.0,1,20.502,300.399,2020-12-04T14:34:44.053Z,FRESA300
48,1505,1.7,20.0,1,18000.0,1574938,100.0,17960.0,23.0,1,20.298,2.0,2020-12-04T15:08:14.722Z,FRESA2MM
49,1506,0.7,20.0,1,11000.0,1812166,144.899,10997.0,22.0,1,20.349,75.0,2020-12-04T15:47:47.037Z,FRESAPP
50,1507,0.9,20.0,1,11000.0,1833582,144.899,10965.0,22.0,1,20.23,75.0,2020-12-04T15:51:21.200Z,FRESAPP
51,1508,0.9,20.0,1,11000.0,1872273,144.899,10962.0,22.0,1,20.264,75.0,2020-12-04T15:57:48.116Z,FRESAPP
52,1509,0.9,20.0,1,11000.0,1883375,144.899,10952.0,25.0,1,20.264,75.0,2020-12-04T15:59:39.138Z,FRESAPP
53,1510,0.9,20.0,1,11000.0,1899400,144.899,10972.0,25.0,1,20.332,75.0,2020-12-04T16:02:19.390Z,FRESAPP
54,1511,0.9,20.0,1,11000.0,1910248,144.899,10961.0,27.0,1,20.212,75.0,2020-12-04T16:04:07.872Z,FRESAPP
55,1512,0.9,22.0,1,11000.0,1934395,144.899,11000.0,25.0,1,20.332,75.0,2020-12-04T16:08:09.345Z,FRESAPP
56,1513,0.9,22.0,1,11000.0,1946865,144.899,10984.0,28.0,1,20.264,75.0,2020-12-04T16:10:14.047Z,FRESAPP
57,1514,6.6,22.0,1,16000.0,2001830,150.0,16001.0,24.0,1,20.212,20.0,2020-12-04T16:19:23.705Z,FRESA20
58,1515,0.3,22.0,1,11000.0,2042492,144.899,10973.0,24.0,1,20.298,75.0,2020-12-04T16:26:10.331Z,FRESAPP
59,1516,0.4,22.0,1,11000.0,2060547,144.899,10983.0,25.0,1,20.162,75.0,2020-12-04T16:29:10.884Z,FRESAPP
60,1517,0.4,22.0,1,11000.0,2079523,144.899,10958.0,27.0,1,20.212,75.0,2020-12-04T16:32:20.646Z,FRESAPP
61,1518,0.4,22.0,1,11000.0,2092102,144.899,10980.0,27.0,1,20.247,75.0,2020-12-04T16:34:26.438Z,FRESAPP
62,1519,0.4,22.0,1,11000.0,2106866,144.899,10950.0,27.0,1,20.179,75.0,2020-12-04T16:36:54.081Z,FRESAPP
63,1520,0.4,22.0,1,11000.0,2120668,144.899,10958.0,27.0,1,20.247,75.0,2020-12-04T16:39:12.102Z,FRESAPP
64,1521,6.3,12.0,1,16000.0,633568,150.0,16002.0,13.0,1,20.179,20.0,2020-12-05T09:15:42.044Z,FRESA20
65,1522,3.3,13.0,1,18000.0,641652,101.699,17930.0,17.0,1,20.247,50.0,2020-12-05T09:17:02.885Z,FRESASCORR
66,1523,0.4,15.0,1,10000.0,654831,129.0,10011.0,22.0,1,20.179,8.0,2020-12-05T09:19:14.677Z,FRESA8MM
67,1524,2.9,17.0,1,14000.0,773896,156.899,13981.0,18.0,1,20.212,50.0,2020-12-05T09:39:05.343Z,FRESA101
68,1525,2.4,17.0,1,14000.0,785039,156.899,13961.0,20.0,1,20.23,50.0,2020-12-05T09:40:56.775Z,FRESA101
69,1526,2.6,17.0,1,14000.0,810573,156.899,13972.0,20.0,1,20.195,50.0,2020-12-05T09:45:12.118Z,FRESA101
70,1527,2.5,18.0,1,14000.0,843898,156.899,13922.0,20.0,1,20.128,50.0,2020-12-05T09:50:45.373Z,FRESA101
71,1528,2.7,20.0,1,14000.0,902605,156.899,13952.0,22.0,1,20.247,50.0,2020-12-05T10:00:32.451Z,FRESA101
72,1529,0.7,20.0,1,18000.0,908326,101.699,17996.0,24.0,1,20.145,50.0,2020-12-05T10:01:29.662Z,FRESASCORR
73,1530,6.7,18.0,1,16000.0,1236268,150.0,15954.0,20.0,1,20.162,20.0,2020-12-05T10:56:09.130Z,FRESA20
74,1531,4.1,20.0,1,18000.0,1303268,101.699,18002.0,22.0,1,20.179,50.0,2020-12-05T11:07:19.141Z,FRESASCORR
75,1532,0.3,20.0,1,10000.0,1315790,129.0,9966.0,27.0,1,20.162,8.0,2020-12-05T11:09:24.363Z,FRESA8MM
76,1777,,0.0,1,0.0,3466938,,0.0,0.0,,6.859,,2020-12-11T16:18:27.105Z,
77,1778,,0.0,1,0.0,3478208,,0.0,0.0,,6.23,,2020-12-11T16:20:19.806Z,
78,1779,,0.0,1,0.0,3515674,,0.0,0.0,,12.076,,2020-12-11T16:26:34.472Z,
79,1780,,0.0,1,0.0,3537014,,0.0,0.0,,6.149,,2020-12-11T16:30:07.875Z,
80,1781,,0.0,1,0.0,3544498,,0.0,0.0,,6.06,,2020-12-11T16:31:22.716Z,
81,1849,,0.0,1,0.0,886457,,0.0,0.0,,8.946,,2020-12-12T09:59:04.627Z,
82,1850,,0.0,1,0.0,895668,,0.0,0.0,,12.202,,2020-12-12T10:00:36.738Z,
83,1851,,0.0,1,0.0,904482,,0.0,0.0,,6.341,,2020-12-12T10:02:04.879Z,
84,1852,,0.0,1,0.0,911468,,0.0,0.0,,8.85,,2020-12-12T10:03:14.740Z,
85,1853,,0.0,1,0.0,918747,,0.0,0.0,,6.282,,2020-12-12T10:04:27.531Z,
86,1854,,0.0,1,0.0,926323,,0.0,0.0,,11.884,,2020-12-12T10:05:43.292Z,
87,1855,,0.0,1,0.0,946816,,0.0,0.0,,6.401,,2020-12-12T10:09:08.224Z,
88,1856,,0.0,1,0.0,955531,,0.0,0.0,,12.417,,2020-12-12T10:10:35.376Z,
89,1859,,0.0,1,0.0,1061277,,0.0,0.0,,6.512,,2020-12-12T10:28:12.849Z,
90,1860,,0.0,1,0.0,1082762,,0.0,0.0,,12.076,,2020-12-12T10:31:47.702Z,
91,1861,,0.0,1,0.0,1089250,,0.0,0.0,,12.091,,2020-12-12T10:32:52.582Z,
92,1862,,0.0,1,0.0,1095277,,0.0,0.0,,6.149,,2020-12-12T10:33:52.853Z,
93,1863,,0.0,1,0.0,1131688,,0.0,0.0,,6.06,,2020-12-12T10:39:56.968Z,
94,1864,,0.0,1,0.0,1137197,,0.0,0.0,,12.106,,2020-12-12T10:40:52.058Z,
95,1865,,0.0,1,0.0,1142988,,0.0,0.0,,12.261,,2020-12-12T10:41:49.969Z,
96,1866,,0.0,1,0.0,1149718,,0.0,0.0,,5.831,,2020-12-12T10:42:57.270Z,
97,1966,,0.0,1,0.0,1023860,,0.0,0.0,,6.556,,2020-12-14T09:26:31.744Z,
98,1967,,0.0,1,0.0,1061662,,0.0,0.0,,6.423,,2020-12-14T09:32:49.769Z,
99,1968,,0.0,1,0.0,1069388,,0.0,0.0,,6.267,,2020-12-14T09:34:07.030Z,
100,1969,,0.0,1,0.0,1077713,,0.0,0.0,,12.054,,2020-12-14T09:35:30.281Z,
101,1970,,0.0,1,0.0,1090780,,0.0,0.0,,12.395,,2020-12-14T09:37:40.953Z,
102,1971,,0.0,1,0.0,1099544,,0.0,0.0,,6.023,,2020-12-14T09:39:08.595Z,
103,1972,,0.0,1,0.0,1107498,,0.0,0.0,,5.92,,2020-12-14T09:40:28.136Z,
104,1533,6.0,20.0,1,16000.0,1538864,150.0,15985.0,22.0,1,20.195,20.0,2020-12-05T11:46:35.137Z,FRESA20
105,1534,5.3,10.0,1,14000.0,144623,156.899,14012.0,12.0,1,20.264,50.0,2020-12-07T07:00:24.448Z,FRESA101
106,1535,5.4,12.0,1,14000.0,178543,156.899,14003.0,13.0,1,20.298,50.0,2020-12-07T07:06:03.650Z,FRESA101
107,1536,4.9,13.0,1,14000.0,220345,156.899,13954.0,15.0,1,20.162,50.0,2020-12-07T07:13:01.673Z,FRESA101
108,1537,5.5,15.0,1,14000.0,287939,156.899,13990.0,17.0,1,20.332,50.0,2020-12-07T07:24:17.619Z,FRESA101
109,1538,4.7,15.0,1,16000.0,372898,150.0,16013.0,17.0,1,20.315,20.0,2020-12-07T07:38:27.217Z,FRESA20
110,1539,5.4,15.0,1,14000.0,500635,156.899,14002.0,18.0,1,20.212,50.0,2020-12-07T07:59:44.600Z,FRESA101
111,1540,5.4,17.0,1,14000.0,514770,156.899,13942.0,19.0,1,20.382,50.0,2020-12-07T08:02:05.951Z,FRESA101
112,1541,5.7,17.0,1,14000.0,524877,156.899,14000.0,20.0,1,20.382,50.0,2020-12-07T08:03:47.023Z,FRESA101
113,1542,5.7,17.0,1,14000.0,536027,156.899,14014.0,20.0,1,20.264,50.0,2020-12-07T08:05:38.524Z,FRESA101
114,1543,5.6,17.0,1,14000.0,546843,156.899,14002.0,20.0,1,20.179,50.0,2020-12-07T08:07:26.685Z,FRESA101
115,1544,5.8,17.0,1,14000.0,556240,156.899,13995.0,22.0,1,20.128,50.0,2020-12-07T08:09:00.656Z,FRESA101
116,1545,5.2,17.0,1,14000.0,562438,156.899,13934.0,22.0,1,20.315,50.0,2020-12-07T08:10:02.637Z,FRESA101
117,1546,5.3,18.0,1,14000.0,572852,156.899,13984.0,22.0,1,20.128,50.0,2020-12-07T08:11:46.778Z,FRESA101
118,1547,1.8,17.0,1,18000.0,897412,140.0,18023.0,19.0,1,20.298,16.0,2020-12-07T09:05:52.415Z,FRESA16
119,1548,4.6,18.0,1,6000.0,909797,58.849,5954.0,25.0,1,20.332,300.399,2020-12-07T09:07:56.267Z,FRESA300
120,1549,1.1,17.0,1,18000.0,1089963,140.0,17963.0,20.0,1,20.264,16.0,2020-12-07T09:37:57.949Z,FRESA16
121,1550,2.2,18.0,1,6000.0,1096118,58.849,5844.0,22.0,1,20.417,300.399,2020-12-07T09:38:59.499Z,FRESA300
122,1551,1.8,17.0,1,18000.0,1251035,100.0,18019.0,20.0,1,20.162,2.0,2020-12-07T10:04:48.689Z,FRESA2MM
123,1552,1.9,19.0,1,18000.0,1295666,100.0,17950.0,22.0,1,20.264,2.0,2020-12-07T10:12:15.004Z,FRESA2MM
124,1553,1.9,20.0,1,18000.0,1339474,100.0,17992.0,23.0,1,20.332,2.0,2020-12-07T10:19:33.090Z,FRESA2MM
125,1554,1.5,20.0,1,14000.0,1534463,156.899,13925.0,22.0,1,20.162,50.0,2020-12-07T10:52:03.005Z,FRESA101
126,1555,1.5,20.0,1,14000.0,1566122,156.899,13959.0,22.0,1,20.264,50.0,2020-12-07T10:57:19.599Z,FRESA101
127,1556,2.4,20.0,1,14000.0,52814,156.899,13954.0,22.0,1,20.212,50.0,2020-12-07T11:18:21.244Z,FRESA101
128,1557,4.1,20.0,1,18000.0,58697,101.699,17943.0,24.0,1,20.298,50.0,2020-12-07T11:19:20.074Z,FRESASCORR
129,1558,5.7,20.0,1,14000.0,77269,156.899,13953.0,22.0,1,20.195,50.0,2020-12-07T11:22:25.796Z,FRESA101
130,1559,3.4,20.0,1,18000.0,83311,101.699,17923.0,24.0,1,20.212,50.0,2020-12-07T11:23:26.217Z,FRESASCORR
131,1560,0.6,20.0,1,18000.0,234311,113.199,17963.0,22.0,1,20.247,18.0,2020-12-07T11:48:36.236Z,FRESASER
132,1561,0.8,20.0,1,18000.0,248798,113.199,17931.0,25.0,1,20.315,18.0,2020-12-07T11:51:01.107Z,FRESASER
133,1562,4.9,17.0,1,14000.0,947214,156.899,14013.0,20.0,1,20.315,50.0,2020-12-07T13:47:25.356Z,FRESA101
134,1563,1.2,17.0,1,18000.0,968000,143.0,18021.0,20.0,1,20.315,14.0,2020-12-07T13:50:53.219Z,FRESA14
135,1564,1.1,19.0,1,18000.0,1042054,143.0,18019.0,22.0,1,20.212,14.0,2020-12-07T14:03:13.768Z,FRESA14
136,1565,0.7,20.0,1,18000.0,1052985,143.0,17973.0,24.0,1,20.195,14.0,2020-12-07T14:05:03.079Z,FRESA14
137,1566,2.1,20.0,1,6000.0,1057139,58.849,5931.0,25.0,1,20.655,300.399,2020-12-07T14:05:44.620Z,FRESA300
138,1567,1.2,20.0,1,18000.0,1145266,100.0,18032.0,22.0,1,20.298,2.0,2020-12-07T14:20:25.901Z,FRESA2MM
139,1568,4.2,22.0,1,16000.0,1189500,150.0,15967.0,24.0,1,20.195,20.0,2020-12-07T14:27:48.247Z,FRESA20
140,1569,5.3,22.0,1,16000.0,1196215,150.0,16010.0,25.0,1,20.382,20.0,2020-12-07T14:28:55.397Z,FRESA20
141,1570,5.6,22.0,1,16000.0,1282361,150.0,15972.0,24.0,1,20.162,20.0,2020-12-07T14:43:16.868Z,FRESA20
142,1571,1.1,20.0,1,18000.0,1349775,100.0,18008.0,22.0,1,20.212,2.0,2020-12-07T14:54:31.017Z,FRESA2MM
143,1572,1.2,22.0,1,18000.0,1389565,100.0,17990.0,24.0,1,20.145,2.0,2020-12-07T15:01:08.922Z,FRESA2MM
144,1573,1.2,22.0,1,18000.0,1437345,100.0,18034.0,24.0,1,20.212,2.0,2020-12-07T15:09:06.728Z,FRESA2MM
145,1574,1.1,20.0,1,18000.0,1680543,100.0,17968.0,23.0,1,20.298,2.0,2020-12-07T15:49:38.740Z,FRESA2MM
146,1575,4.2,20.0,1,18000.0,1780600,101.699,17945.0,22.0,1,20.162,50.0,2020-12-07T16:06:19.322Z,FRESASCORR
147,1576,2.6,20.0,1,14000.0,1797200,156.899,13961.0,22.0,1,20.281,50.0,2020-12-07T16:09:05.324Z,FRESA101
148,1577,3.4,20.0,1,18000.0,1802807,101.699,17953.0,25.0,1,20.247,50.0,2020-12-07T16:10:01.395Z,FRESASCORR
149,1578,2.6,20.0,1,16000.0,1811721,150.0,16000.0,25.0,1,20.212,20.0,2020-12-07T16:11:30.536Z,FRESA20
150,1579,1.8,10.0,1,19000.0,245181,122.0,19027.0,13.0,1,20.247,16.0,2020-12-09T07:23:29.435Z,FRESA16DIAM
151,1580,3.8,12.0,1,18000.0,266187,101.699,17935.0,15.0,1,20.212,50.0,2020-12-09T07:26:59.499Z,FRESASCORR
152,1581,1.6,12.0,1,19000.0,277619,122.0,19033.0,15.0,1,20.365,16.0,2020-12-09T07:28:53.822Z,FRESA16DIAM
153,1582,1.9,13.0,1,19000.0,293953,122.0,18981.0,17.0,1,20.212,16.0,2020-12-09T07:31:37.165Z,FRESA16DIAM
154,1583,4.7,14.0,1,16000.0,313015,150.0,15994.0,17.0,1,20.23,20.0,2020-12-09T07:34:47.789Z,FRESA20
155,1584,7.1,15.0,1,16000.0,323083,150.0,16003.0,20.0,1,20.298,20.0,2020-12-09T07:36:28.472Z,FRESA20
156,1585,4.8,15.0,1,16000.0,332665,150.0,15977.0,20.0,1,20.4,20.0,2020-12-09T07:38:04.294Z,FRESA20
157,1586,3.7,15.0,1,18000.0,352865,101.699,17941.0,18.0,1,20.162,50.0,2020-12-09T07:41:26.298Z,FRESASCORR
158,1587,4.6,17.0,1,16000.0,362869,150.0,15971.0,20.0,1,20.145,20.0,2020-12-09T07:43:06.340Z,FRESA20
159,1588,6.2,17.0,1,16000.0,372178,150.0,15986.0,22.0,1,20.365,20.0,2020-12-09T07:44:39.433Z,FRESA20
160,1589,6.6,17.0,1,16000.0,387949,150.0,15995.0,22.0,1,20.179,20.0,2020-12-09T07:47:17.146Z,FRESA20
161,1590,6.6,18.0,1,16000.0,397575,150.0,16006.0,24.0,1,20.247,20.0,2020-12-09T07:48:53.408Z,FRESA20
162,1591,7.1,18.0,1,16000.0,415222,150.0,16005.0,22.0,1,20.382,20.0,2020-12-09T07:51:49.882Z,FRESA20
163,1592,6.8,19.0,1,16000.0,425891,150.0,15975.0,24.0,1,20.264,20.0,2020-12-09T07:53:36.575Z,FRESA20
164,1593,6.6,20.0,1,16000.0,441318,150.0,15943.0,24.0,1,20.382,20.0,2020-12-09T07:56:10.848Z,FRESA20
165,1594,7.4,20.0,1,16000.0,453673,150.0,16025.0,25.0,1,20.298,20.0,2020-12-09T07:58:14.401Z,FRESA20
166,1595,2.4,18.0,1,18000.0,805011,113.199,18014.0,20.0,1,20.212,18.0,2020-12-09T08:56:47.866Z,FRESASER
167,1596,2.8,19.0,1,18000.0,862158,113.199,17965.0,22.0,1,20.247,18.0,2020-12-09T09:06:19.350Z,FRESASER
168,1597,2.9,20.0,1,18000.0,945755,113.199,17961.0,22.0,1,20.23,18.0,2020-12-09T09:20:15.341Z,FRESASER
169,1598,2.9,20.0,1,18000.0,966025,113.199,18004.0,28.0,1,20.281,18.0,2020-12-09T09:23:38.046Z,FRESASER
170,1599,2.8,22.0,1,18000.0,1010228,113.199,17959.0,25.0,1,20.247,18.0,2020-12-09T09:31:00.087Z,FRESASER
171,1600,2.7,23.0,1,18000.0,1029446,113.199,17988.0,30.0,1,20.315,18.0,2020-12-09T09:34:12.272Z,FRESASER
172,1601,1.5,22.0,1,18000.0,1143022,143.0,18018.0,24.0,1,20.298,14.0,2020-12-09T09:53:08.061Z,FRESA14
173,1602,4.8,20.0,1,14000.0,1155430,156.899,13973.0,24.0,1,20.212,50.0,2020-12-09T09:55:12.144Z,FRESA101
174,1603,4.0,20.0,1,18000.0,1168035,143.0,18021.0,24.0,1,20.247,14.0,2020-12-09T09:57:18.197Z,FRESA14
175,1604,0.8,22.0,1,6000.0,1182373,58.849,5957.0,29.0,1,20.417,300.399,2020-12-09T09:59:41.581Z,FRESA300
176,1605,1.1,22.0,1,16000.0,1247024,150.0,15957.0,24.0,1,20.212,20.0,2020-12-09T10:10:28.107Z,FRESA20
177,1606,2.5,22.0,1,16000.0,1271263,150.0,15953.0,24.0,1,20.195,20.0,2020-12-09T10:14:30.503Z,FRESA20
178,1607,2.8,22.0,1,16000.0,1286367,150.0,15979.0,25.0,1,20.212,20.0,2020-12-09T10:17:01.547Z,FRESA20
179,1608,2.6,22.0,1,16000.0,1298213,150.0,15987.0,27.0,1,20.212,20.0,2020-12-09T10:19:00.010Z,FRESA20
180,1609,2.5,22.0,1,16000.0,1308413,150.0,15907.0,27.0,1,20.264,20.0,2020-12-09T10:20:42.013Z,FRESA20
181,1610,3.7,22.0,1,14000.0,1409602,156.899,13969.0,24.0,1,20.264,50.0,2020-12-09T10:37:33.929Z,FRESA101
182,1611,5.3,20.0,1,16000.0,1467383,150.0,15954.0,23.0,1,20.247,20.0,2020-12-09T10:47:11.754Z,FRESA20
183,1612,3.9,20.0,1,11000.0,1549729,144.899,10951.0,23.0,1,20.468,75.0,2020-12-09T11:00:55.235Z,FRESAPP
184,1613,4.9,20.0,1,11000.0,1567084,144.899,10931.0,24.0,1,20.298,75.0,2020-12-09T11:03:48.789Z,FRESAPP
185,1614,5.1,20.0,1,11000.0,1584241,144.899,10963.0,24.0,1,20.212,75.0,2020-12-09T11:06:40.364Z,FRESAPP
186,1615,5.1,20.0,1,11000.0,1599989,144.899,10961.0,25.0,1,20.298,75.0,2020-12-09T11:09:17.848Z,FRESAPP
187,1616,5.1,22.0,1,11000.0,1610852,144.899,10978.0,27.0,1,20.145,75.0,2020-12-09T11:11:06.481Z,FRESAPP
188,1617,5.1,22.0,1,11000.0,1663503,144.899,10965.0,24.0,1,20.247,75.0,2020-12-09T11:19:53.004Z,FRESAPP
189,1618,5.2,22.0,1,11000.0,1672677,144.899,10998.0,27.0,1,20.281,75.0,2020-12-09T11:21:24.747Z,FRESAPP
190,1619,4.6,17.0,1,11000.0,2694875,144.899,10994.0,19.0,1,20.485,75.0,2020-12-09T14:11:46.992Z,FRESAPP
191,1620,4.4,17.0,1,11000.0,2705491,144.899,10913.0,20.0,1,20.128,75.0,2020-12-09T14:13:33.155Z,FRESAPP
192,1621,4.6,17.0,1,11000.0,2721150,144.899,10975.0,22.0,1,20.212,75.0,2020-12-09T14:16:09.749Z,FRESAPP
193,1622,2.1,17.0,1,14000.0,2738104,156.899,13929.0,22.0,1,20.315,50.0,2020-12-09T14:18:59.293Z,FRESA101
194,1623,0.9,17.0,1,18000.0,2743090,101.699,17984.0,23.0,1,20.195,50.0,2020-12-09T14:19:49.154Z,FRESASCORR
195,1624,5.6,18.0,1,16000.0,2752959,150.0,16009.0,23.0,1,20.179,20.0,2020-12-09T14:21:27.847Z,FRESA20
196,1625,7.6,19.0,1,16000.0,2781379,150.0,16018.0,22.0,1,20.212,20.0,2020-12-09T14:26:12.054Z,FRESA20
197,1626,8.3,19.0,1,16000.0,2788661,150.0,16024.0,24.0,1,20.247,20.0,2020-12-09T14:27:24.876Z,FRESA20
198,1627,8.1,20.0,1,16000.0,2797139,150.0,15976.0,24.0,1,20.332,20.0,2020-12-09T14:28:49.658Z,FRESA20
199,1628,8.1,20.0,1,16000.0,2817195,150.0,16021.0,22.0,1,20.145,20.0,2020-12-09T14:32:10.223Z,FRESA20
200,1629,8.2,20.0,1,16000.0,2893791,150.0,15970.0,22.0,1,20.179,20.0,2020-12-09T14:44:56.203Z,FRESA20
201,1630,7.9,20.0,1,16000.0,2920464,150.0,16021.0,22.0,1,20.179,20.0,2020-12-09T14:49:22.940Z,FRESA20
202,1631,7.9,20.0,1,16000.0,2930440,150.0,16002.0,24.0,1,20.264,20.0,2020-12-09T14:51:02.702Z,FRESA20
